anio,mes,indice_tiempo,empresa,produccion_gas_promedio_dia_mm3
2009,4,2009-04,PAN AMERICAN ENERGY (SUCURSAL ARGENTINA) LLC,16755.482
2009,4,2009-04,PETRO ANDINA RESOURCES LTD.,153.855666666667
2009,4,2009-04,PETROBRAS ARGENTINA S.A.,13870.4186666667
2009,4,2009-04,PETROFARO S.A.,2.061
2009,4,2009-04,PETROLEOS SUDAMERICANOS S.A.,29.4213333333333
2009,4,2009-04,PETROLERA EL TREBOL S.A.,7.19346666666667
2009,4,2009-04,PETROLERA ENTRE LOMAS S.A.,987.026666666667
2009,4,2009-04,PETROLERA LF COMPANY S.R.L.,4577.06
2009,4,2009-04,PETROLERA PATAGONIA S.R.L.,0
2009,4,2009-04,PETROLERA PIEDRA DEL AGUILA S.A.,36.3643666666667
2009,4,2009-04,PETROLERA SAN JOSE S.R.L.,7.495
2009,4,2009-04,PETROMINERA CHUBUT S.E.,0
2009,4,2009-04,PETROQUIMICA COMODORO RIVADAVIA S.A.,659.361666666667
2009,4,2009-04,PLUSPETROL ENERGY S.A.,4968.94686666667
2009,4,2009-04,PLUSPETROL S.A.,4141.5584
2009,4,2009-04,ROCH S.A.,873.755366666667
2009,4,2009-04,SAN JORGE PETROLEUM S.A.,9.04306666666667
2009,4,2009-04,TECPETROL S.A.,5034.98956666667
2009,4,2009-04,TOTAL AUSTRAL S.A.,34627.1236
2009,4,2009-04,YPF S.A.,35961.3967476667
2009,5,2009-05,ALIANZA PETROLERA ARGENTINA S.A.,0
2009,5,2009-05,APACHE ENERGIA ARGENTINA S.R.L.,3804.36451612903
2009,5,2009-05,APACHE PETROLERA ARGENTINA S.A.,20.1096774193548
2009,5,2009-05,APCO ARGENTINA INC.,0
2009,5,2009-05,ARGENTA ENERGIA S.A.,0
2009,5,2009-05,CAPEX S.A.,1910.51
2009,5,2009-05,CENTRAL INTERNATIONAL CORPORATION (SUCURSAL ARGENTINA),20.3870967741935
2009,5,2009-05,CHAÑARES ENERGIA S.A.,20.1975161290323
2009,5,2009-05,CHEVRON ARGENTINA S.R.L.,1826.53290322581
2009,5,2009-05,CLEAR S.R.L.,19.8833870967742
2009,5,2009-05,COLHUE HUAPI S.A.,16.6709677419355
2009,5,2009-05,COMPAÑÍA GENERAL DE COMBUSTIBLES S.A.,39.9867741935484
2009,5,2009-05,COMPAÑÍAS ASOCIADAS PETROLERAS S.A.,76.2464516129032
2009,5,2009-05,"CRI HOLDING, INC.",1.19745161290323
2009,5,2009-05,DAPETROL S.A.,0
2009,5,2009-05,EHRENCAP S.A.,0
