anio,mes,indice_tiempo,cuenca,produccion_petroleo_promedio_dia_m3
2013,12,2013-12,CUYANA,4693.95051612903
2013,12,2013-12,DEL COLORADO,0
2013,12,2013-12,FUERA DE CUENCA,0
2013,12,2013-12,GENERAL LEVALLE,0
2013,12,2013-12,GOLFO SAN JORGE,41703.216
2013,12,2013-12,LAS SALINAS,0
2013,12,2013-12,LOS BOLSONES,0
2013,12,2013-12,MALVINAS,0
2013,12,2013-12,NEUQUINA,34625.4451523665
2013,12,2013-12,ÑIRIHUAU,0
2013,12,2013-12,NORESTE,0
2013,12,2013-12,NOROESTE,1280.53774193548
2014,1,2014-01,AUSTRAL,3767.4782736129
2014,1,2014-01,CAÑADON ASFALTO,0
2014,1,2014-01,CUYANA,4708.12903225806
2014,1,2014-01,DEL COLORADO,0
2014,1,2014-01,FUERA DE CUENCA,0
2014,1,2014-01,GENERAL LEVALLE,0
2014,1,2014-01,GOLFO SAN JORGE,41562.6556774194
2014,1,2014-01,LAS SALINAS,0
2014,1,2014-01,LOS BOLSONES,0
2014,1,2014-01,MALVINAS,0
2014,1,2014-01,NEUQUINA,34425.6461058416
2014,1,2014-01,ÑIRIHUAU,0
2014,1,2014-01,NORESTE,0
2014,1,2014-01,NOROESTE,1251.41041935484
2014,2,2014-02,AUSTRAL,3709.53759353571
2014,2,2014-02,CAÑADON ASFALTO,0
2014,2,2014-02,CUYANA,4683.33189285714
2014,2,2014-02,DEL COLORADO,0
2014,2,2014-02,FUERA DE CUENCA,0
2014,2,2014-02,GENERAL LEVALLE,0
2014,2,2014-02,GOLFO SAN JORGE,41652.5408571429
2014,2,2014-02,LAS SALINAS,0
2014,2,2014-02,LOS BOLSONES,0
2014,2,2014-02,MALVINAS,0
2014,2,2014-02,NEUQUINA,34364.9722536896
2014,2,2014-02,ÑIRIHUAU,0
2014,2,2014-02,NORESTE,0
2014,2,2014-02,NOROESTE,1272.52607142857
2014,3,2014-03,AUSTRAL,3687.28853548387
2014,3,2014-03,CAÑADON ASFALTO,0
2014,3,2014-03,CUYANA,4715.26590322581
2014,3,2014-03,DEL COLORADO,0
2014,3,2014-03,FUERA DE CUENCA,0
2014,3,2014-03,GENERAL LEVALLE,0
