anio,mes,indice_tiempo,cuenca,produccion_gas_promedio_dia_mm3
2014,1,2014-01,ÑIRIHUAU,0
2014,1,2014-01,NORESTE,0
2014,1,2014-01,NOROESTE,8499.854
2014,2,2014-02,AUSTRAL,28350.0175714286
2014,2,2014-02,CAÑADON ASFALTO,0
2014,2,2014-02,CUYANA,155.432911071429
2014,2,2014-02,DEL COLORADO,0
2014,2,2014-02,FUERA DE CUENCA,0
2014,2,2014-02,GENERAL LEVALLE,0
2014,2,2014-02,GOLFO SAN JORGE,14401.5623209704
2014,2,2014-02,LAS SALINAS,0
2014,2,2014-02,LOS BOLSONES,0
2014,2,2014-02,MALVINAS,0
2014,2,2014-02,NEUQUINA,62741.3807142854
2014,2,2014-02,ÑIRIHUAU,0
2014,2,2014-02,NORESTE,0
2014,2,2014-02,NOROESTE,8339.4445
2014,3,2014-03,AUSTRAL,28377.9079677419
2014,3,2014-03,CAÑADON ASFALTO,0
2014,3,2014-03,CUYANA,157.783028064516
2014,3,2014-03,DEL COLORADO,0
2014,3,2014-03,FUERA DE CUENCA,0
2014,3,2014-03,GENERAL LEVALLE,0
2014,3,2014-03,GOLFO SAN JORGE,14629.0318008323
2014,3,2014-03,LAS SALINAS,0
2014,3,2014-03,LOS BOLSONES,0
2014,3,2014-03,MALVINAS,0
2014,3,2014-03,NEUQUINA,60820.9772580645
2014,3,2014-03,ÑIRIHUAU,0
2014,3,2014-03,NORESTE,0
2014,3,2014-03,NOROESTE,8205.82832258065
2014,4,2014-04,AUSTRAL,24691.6380666667
2014,4,2014-04,CAÑADON ASFALTO,0
2014,4,2014-04,CUYANA,158.763211
2014,4,2014-04,DEL COLORADO,0
2014,4,2014-04,FUERA DE CUENCA,0
2014,4,2014-04,GENERAL LEVALLE,0
2014,4,2014-04,GOLFO SAN JORGE,14608.8083572647
2014,4,2014-04,LAS SALINAS,0
2014,4,2014-04,LOS BOLSONES,0
2014,4,2014-04,MALVINAS,0
2014,4,2014-04,NEUQUINA,61104.9431
2014,4,2014-04,ÑIRIHUAU,0
2014,4,2014-04,NORESTE,0
2014,4,2014-04,NOROESTE,7970.41656666667
2014,5,2014-05,AUSTRAL,28389.0831290323
2014,5,2014-05,CAÑADON ASFALTO,0
2014,5,2014-05,CUYANA,157.337572258065
2014,5,2014-05,DEL COLORADO,0
2014,5,2014-05,FUERA DE CUENCA,0
2014,5,2014-05,GENERAL LEVALLE,0
2014,5,2014-05,GOLFO SAN JORGE,14370.400828021
2014,5,2014-05,LAS SALINAS,0
2014,5,2014-05,LOS BOLSONES,0
2014,5,2014-05,MALVINAS,0
2014,5,2014-05,NEUQUINA,63426.3317748387
2014,5,2014-05,ÑIRIHUAU,0
2014,5,2014-05,NORESTE,0
2014,5,2014-05,NOROESTE,7978.86838709677
2014,6,2014-06,AUSTRAL,28275.5335
2014,6,2014-06,CAÑADON ASFALTO,0
2014,6,2014-06,CUYANA,157.59705
2014,6,2014-06,DEL COLORADO,0
