anio,mes,indice_tiempo,provincia,produccion_gas_promedio_dia_mm3
2012,3,2012-03,Formosa,55.891935483871
2012,3,2012-03,Jujuy,12.898064516129
2012,3,2012-03,La Pampa,1077.05593548387
2012,3,2012-03,Mendoza,6239.76824677419
2012,3,2012-03,Neuquén,54603.0380967742
2012,3,2012-03,Rio Negro,4477.30432258065
2012,3,2012-03,Salta,11151.33
2012,3,2012-03,San Juan,0
2012,3,2012-03,Santa Cruz,11790.6824493548
2012,3,2012-03,Tierra del Fuego,10420.8319677419
2012,4,2012-04,Chubut,9379.555204
2012,4,2012-04,Estado Nacional,13679.6709333333
2012,4,2012-04,Formosa,73.485
2012,4,2012-04,Jujuy,13.3826666666667
2012,4,2012-04,La Pampa,1248.48516666667
2012,4,2012-04,Mendoza,6286.76478733333
2012,4,2012-04,Neuquén,54163.8141666667
2012,4,2012-04,Rio Negro,4444.29416666667
2012,4,2012-04,Salta,10948.9565333333
2012,4,2012-04,Santa Cruz,11770.6740956667
2012,4,2012-04,Tierra del Fuego,10434.4224333333
2012,5,2012-05,Chubut,9778.32712032258
2012,5,2012-05,Estado Nacional,13528.7712258065
2012,5,2012-05,Formosa,80.7609677419355
2012,5,2012-05,Jujuy,12.8825806451613
2012,5,2012-05,La Pampa,1271.43806451613
2012,5,2012-05,Mendoza,6401.8008016129
2012,5,2012-05,Neuquén,54107.3242258064
2012,5,2012-05,Rio Negro,4526.26974193548
2012,5,2012-05,Salta,10601.8236129032
2012,5,2012-05,San Juan,0
2012,5,2012-05,Santa Cruz,11625.7332812903
2012,5,2012-05,Tierra del Fuego,10528.6742580645
2012,6,2012-06,Chubut,9180.20931166667
2012,6,2012-06,Estado Nacional,13666.6741333333
2012,6,2012-06,Formosa,78.2651
2012,6,2012-06,Jujuy,13.5676666666667
2012,6,2012-06,La Pampa,1228.78266666667
2012,6,2012-06,Mendoza,6678.97070166667
2012,6,2012-06,Neuquén,53660.0785
2012,6,2012-06,Rio Negro,4716.6557
2012,6,2012-06,Salta,10489.0911333333
2012,6,2012-06,San Juan,0
2012,6,2012-06,Santa Cruz,11365.357628
2012,6,2012-06,Tierra del Fuego,10553.8942333333
2012,7,2012-07,Chubut,9436.54217612903
2012,7,2012-07,Estado Nacional,14212.1841290323
2012,7,2012-07,Formosa,78.9054838709677
2012,7,2012-07,Jujuy,13.0664516129032
2012,7,2012-07,La Pampa,1209.83870967742
2012,7,2012-07,Mendoza,6729.41312258064
2012,7,2012-07,Neuquén,53345.2784193548
2012,7,2012-07,Rio Negro,4659.02696774194
2012,7,2012-07,Salta,10346.6397741935
2012,7,2012-07,San Juan,0
2012,7,2012-07,Santa Cruz,11319.9424480645
2012,7,2012-07,Tierra del Fuego,10099.1916774194
2012,8,2012-08,Chubut,9716.39987677419
2012,8,2012-08,Estado Nacional,14452.7647741935
2012,8,2012-08,Formosa,84.7803225806452
2012,8,2012-08,Jujuy,13.1961290322581
2012,8,2012-08,La Pampa,1248.12451612903
2012,8,2012-08,La Rioja,0
2012,8,2012-08,Mendoza,6742.95011709677
2012,8,2012-08,Neuquén,53583.3800967742
2012,8,2012-08,Rio Negro,4717.09893548387
2012,8,2012-08,Salta,10127.0102580645
2012,8,2012-08,San Juan,0
2012,8,2012-08,Santa Cruz,11557.3935816129
2012,8,2012-08,Tierra del Fuego,9186.60293548387
2012,9,2012-09,Chubut,9669.12814566667
2012,9,2012-09,Estado Nacional,14585.8671666667
2012,9,2012-09,Formosa,78.0116666666667
2012,9,2012-09,Jujuy,12.586
2012,9,2012-09,La Pampa,1265.54873333333
2012,9,2012-09,La Rioja,0
2012,9,2012-09,Mendoza,6718.49659933333
2012,9,2012-09,Neuquén,52864.8635
2012,9,2012-09,Rio Negro,4690.94666666667
2012,9,2012-09,Salta,10059.5446333333
2012,9,2012-09,San Juan,0
2012,9,2012-09,Santa Cruz,11987.109787
2012,9,2012-09,Tierra del Fuego,9331.44876666667
2012,10,2012-10,Chubut,9577.02268612903
2012,10,2012-10,Estado Nacional,14248.8436129032
2012,10,2012-10,Formosa,77.61
2012,10,2012-10,Jujuy,12.3338709677419
2012,10,2012-10,La Pampa,1264.10290322581
2012,10,2012-10,La Rioja,0
2012,10,2012-10,Mendoza,6475.89167774194
2012,10,2012-10,Neuquén,52075.8620645161
2012,10,2012-10,Rio Negro,4720.28570967742
2012,10,2012-10,Salta,9845.77083870968
2012,10,2012-10,San Juan,0
2012,10,2012-10,Santa Cruz,11449.471106129
2012,10,2012-10,Tierra del Fuego,9996.77835483871
2012,11,2012-11,Chubut,9371.84527633333
2012,11,2012-11,Estado Nacional,14258.9595333333
2012,11,2012-11,Formosa,81.7666666666667
2012,11,2012-11,Jujuy,13.2166666666667
2012,11,2012-11,La Pampa,1139.13743333333
2012,11,2012-11,La Rioja,0
2012,11,2012-11,Mendoza,6322.09177066667
2012,11,2012-11,Neuquén,50996.133
2012,11,2012-11,Rio Negro,4636.1785
2012,11,2012-11,Salta,9549.14683333333
2012,11,2012-11,San Juan,0
2012,11,2012-11,Santa Cruz,11231.202153
2012,11,2012-11,Tierra del Fuego,9597.67246666667
