periodo_str,producto,total_cuenca,total_empresa,total_provincia,diff_cuenca_vs_provincia_pct,diff_empresa_vs_provincia_pct
2012-02,petroleo,88386.97596827589,88386.97596827595,88386.97596827598,-9.878320919310456e-14,-3.292773639770152e-14
2012-03,petroleo,88786.07192258065,88786.07192258073,88786.07192258062,3.27797252728013e-14,1.1472903845480458e-13
2012-04,petroleo,87798.72123333333,87798.72123333342,87798.72123333334,-1.6574176735095915e-14,8.287088367547957e-14
2012-05,petroleo,88548.23510477168,88548.2351047716,88548.23510477165,3.286777022974834e-14,-6.573554045949669e-14
2012-06,petroleo,84493.3991946,84493.39919460003,84493.39919459996,5.166764043254473e-14,8.611273405424122e-14
2012-07,petroleo,85271.86731277416,85271.86731277416,85271.86731277427,-1.1945722523577032e-13,-1.1945722523577032e-13
2012-08,petroleo,88703.95357470964,88703.95357470965,88703.95357470965,-1.640503567421119e-14,0.0
2012-09,petroleo,88674.84460906663,88674.84460906664,88674.84460906664,-1.641042089503586e-14,0.0
2012-10,petroleo,87766.76725809673,87766.76725809679,87766.76725809675,-1.6580211033150927e-14,4.974063309945278e-14
2012-11,petroleo,84566.51526945597,84566.51526945598,84566.51526945594,3.4415312448431394e-14,5.1622968672647085e-14
2012-12,petroleo,86672.57562850449,86672.57562850448,86672.57562850445,5.036858010568139e-14,3.35790534037876e-14
2013-01,petroleo,84849.23349799965,84849.23349799972,84849.23349799956,1.0290192117322967e-13,1.886535221509211e-13
2013-02,petroleo,84863.1085965711,84863.10859657111,84863.10859657118,-1.0288509673298587e-13,-8.573758061082155e-14
2013-03,petroleo,85173.14440802381,85173.14440802387,85173.14440802392,-1.1959568630058902e-13,-5.1255294128823866e-14
2013-04,petroleo,84533.32999333335,84533.32999333338,84533.32999333338,-3.442882287853672e-14,0.0
2013-05,petroleo,86060.84682494891,86060.84682494892,86060.84682494894,-3.381773655554658e-14,-1.690886827777329e-14
2013-06,petroleo,85695.79203982287,85695.79203982282,85695.79203982277,1.1886628756664285e-13,5.0942694671418363e-14
2013-07,petroleo,86613.15622768445,86613.15622768461,86613.15622768448,-3.360208971051345e-14,1.512094036973105e-13
2013-08,petroleo,86228.80106130289,86228.80106130292,86228.80106130282,8.437966809964938e-14,1.1813153533950913e-13
2013-09,petroleo,86750.52615451999,86750.52615451995,86750.52615452003,-5.0323320929882246e-14,-1.0064664185976449e-13
2013-10,petroleo,86940.84281597452,86940.8428159745,86940.84281597444,1.0042632270659167e-13,6.695088180439444e-14
2013-11,petroleo,86379.42245551763,86379.4224555176,86379.42245551763,0.0,-3.3693013485614765e-14
2013-12,petroleo,85940.31880939876,85940.3188093988,85940.31880939862,1.5239324087890024e-13,2.0319098783853367e-13
2014-01,petroleo,85715.3195084868,85715.31950848678,85715.31950848676,5.0931089022864985e-14,1.697702967428833e-14
2014-02,petroleo,85682.90866865392,85682.90866865394,85682.908668654,-8.491725744652788e-14,-6.79338059572223e-14
